filtered_frame,original_frame,relative_seconds
1,1,0.000000000
2,2,0.000530000
3,3,0.000555000
4,4,0.000723000
5,5,0.000736000
6,6,0.007651000
7,7,0.011567000
8,8,0.013347000
9,22,0.022000000
10,24,0.027682000
11,25,0.027803000
12,26,0.027956000
13,27,0.028810000
14,28,0.028846000
15,29,0.033519000
16,30,0.034650000
17,31,0.034668000
18,32,0.034832000
19,33,0.034870000
20,34,0.035056000
21,35,0.035072000
22,36,0.035251000
23,37,0.035269000
24,38,0.035432000
25,39,0.035452000
26,40,0.035653000
27,41,0.035666000
28,42,0.035943000
29,43,0.035962000
30,44,0.036139000
31,45,0.036164000
32,46,0.036349000
33,47,0.036363000
34,48,0.036915000
35,49,0.036933000
36,50,0.040399000
37,51,0.040653000
38,52,0.040653000
39,53,0.040662000
40,54,0.040820000
41,55,0.040973000
42,56,0.041156000
43,57,0.041172000
44,58,0.041355000
45,59,0.041377000
46,60,0.041616000
47,61,0.041634000
48,62,0.041905000
49,63,0.041929000
50,64,0.042089000
51,65,0.042247000
52,66,0.042421000
53,67,0.042432000
54,68,0.042615000
55,69,0.042628000
56,70,0.042813000
57,71,0.042846000
58,72,0.043037000
59,73,0.043054000
60,74,0.049721000
61,75,0.050308000
62,76,0.050486000
63,77,0.050511000
64,78,0.050613000
65,79,0.050680000
66,80,0.050842000
67,81,0.050855000
68,82,0.050989000
69,83,0.051079000
70,84,0.051435000
71,85,0.051455000
72,86,0.051629000
73,87,0.051690000
74,88,0.051849000
75,89,0.051862000
76,90,0.052000000
77,91,0.052093000
78,92,0.052272000
79,93,0.052289000
80,94,0.052436000
81,95,0.052551000
82,96,0.052740000
83,97,0.052755000
84,98,0.052894000
85,99,0.052989000
86,100,0.053230000
87,101,0.053249000
88,102,0.053393000
89,103,0.053496000
90,104,0.053662000
91,105,0.053675000
92,106,0.053833000
93,107,0.053916000
94,108,0.057642000
95,109,0.057660000
96,110,0.057821000
97,111,0.057913000
98,112,0.058102000
99,113,0.058117000
100,114,0.058332000
101,115,0.058415000
102,116,0.058603000
103,117,0.058615000
104,118,0.058793000
105,119,0.058802000
106,120,0.058981000
107,121,0.058995000
108,122,0.059208000
109,123,0.059223000
110,124,0.059412000
111,125,0.059425000
112,126,0.059603000
113,127,0.059626000
114,128,0.059876000
115,129,0.059915000
116,130,0.060073000
117,131,0.060089000
118,132,0.060288000
119,133,0.060306000
120,134,0.060488000
121,135,0.060503000
122,136,0.060706000
123,137,0.060716000
124,138,0.060867000
125,139,0.060881000
126,140,0.061071000
127,141,0.061086000
128,142,0.061421000
129,143,0.061443000
130,144,0.061647000
131,145,0.062334000
132,146,0.062455000
133,147,0.062552000
134,148,0.062733000
135,149,0.062808000
136,150,0.062929000
137,151,0.063015000
138,152,0.063213000
139,153,0.063313000
140,154,0.063428000
141,155,0.063535000
142,156,0.063714000
143,157,0.063812000
144,158,0.063935000
145,159,0.064047000
146,160,0.064250000
147,161,0.064339000
148,162,0.064484000
149,163,0.064579000
150,164,0.066949000
151,169,0.093388000
152,170,0.094422000
153,171,0.094487000
154,182,2.188413000
155,183,2.189452000
156,184,2.242636000
157,185,2.245552000
158,186,2.254174000
159,187,2.257462000
160,188,2.260468000
161,189,2.263498000
162,190,2.271230000
163,191,2.274233000
164,192,3.356030000
165,193,3.359126000
166,194,3.366618000
167,195,3.369619000
168,196,3.371899000
169,197,3.377221000
170,198,3.384704000
171,199,3.387890000
172,200,4.549599000
173,201,4.552543000
174,202,4.574340000
175,203,4.577558000
176,204,4.599872000
177,205,4.602735000
178,206,4.624075000
179,207,4.627231000
180,208,4.685353000
181,209,4.688274000
182,210,4.689234000
183,211,4.693889000
184,212,4.694747000
185,213,4.698236000
186,214,4.699565000
187,215,4.703314000
188,216,4.704612000
189,217,4.708442000
190,218,4.712538000
191,219,4.716302000
192,220,4.717875000
193,221,4.721402000
194,222,4.726591000
195,223,4.731449000
196,224,4.732831000
197,225,4.738292000
198,226,4.739739000
199,227,4.745904000
200,228,5.472831000
201,229,5.476870000
202,230,5.483445000
203,231,5.493413000
204,232,5.494871000
205,233,5.497541000
206,234,5.499856000
207,235,5.500015000
208,236,5.507855000
209,237,5.508157000
210,238,5.508433000
211,239,5.509211000
212,240,5.510473000
213,241,5.513924000
214,242,5.523850000
215,243,5.524167000
216,244,5.525767000
217,245,5.528700000
218,246,5.540087000
219,247,5.540332000
220,248,5.556137000
221,249,5.556384000
222,250,5.573933000
223,251,5.577272000
224,252,5.599987000
225,253,5.606326000
226,254,5.609327000
227,255,5.613077000
228,256,5.637443000
229,257,5.641245000
230,258,5.660195000
231,259,5.663903000
232,260,5.675229000
233,261,5.679005000
234,262,5.695037000
235,263,5.700095000
236,264,5.705433000
237,265,5.709259000
238,266,5.724708000
239,267,5.730659000
240,268,5.746246000
241,269,5.749544000
242,270,5.762236000
243,271,5.794619000
244,272,5.802325000
245,273,5.802876000
246,274,5.809379000
247,275,5.813100000
248,276,6.191513000
249,277,6.192747000
250,278,6.201058000
251,279,6.201567000
252,280,6.204134000
253,281,6.206007000
254,282,6.212165000
255,283,6.213332000
256,284,6.220803000
257,285,6.224801000
258,286,6.565634000
259,287,6.566366000
260,288,6.573748000
261,289,6.574285000
262,290,6.911301000
263,291,6.912389000
264,292,6.916693000
265,293,6.920367000
266,294,6.923233000
267,295,6.923718000
268,296,6.934022000
269,297,6.934536000
270,298,6.941598000
271,299,6.946378000
272,300,6.956173000
273,301,6.956810000
274,302,6.969880000
275,303,6.973740000
276,304,6.986294000
277,305,6.989181000
278,306,6.996595000
279,307,6.997678000
280,308,7.004554000
281,309,7.008957000
282,310,7.018111000
283,311,7.018715000
284,312,7.026183000
285,313,7.026685000
286,314,7.040149000
287,315,7.043900000
288,316,7.384336000
289,317,7.393780000
290,318,7.396929000
291,319,7.397395000
292,320,7.403827000
293,321,7.404498000
294,322,8.219456000
295,323,8.315602000
296,324,8.325731000
297,325,8.340171000
298,326,8.671606000
299,327,8.673314000
300,328,9.013321000
301,329,9.015230000
302,330,10.026085000
303,331,10.027079000
304,332,11.041890000
305,333,11.043052000
306,334,11.724773000
307,335,11.742125000
308,336,12.790935000
309,337,12.791745000
310,338,13.536887000
311,339,13.537697000
312,340,13.901379000
313,341,13.902182000
314,342,13.950945000
315,343,13.953065000
316,344,14.641082000
317,345,14.642926000
318,346,14.997997000
319,347,15.002137000
320,348,15.006999000
321,349,15.010781000
322,350,15.017605000
323,351,15.018406000
324,352,15.030330000
325,353,15.031273000
326,354,15.032934000
327,355,15.033502000
328,356,15.035423000
329,357,15.036319000
330,358,15.040754000
331,359,15.043628000
332,360,15.046902000
333,361,15.047642000
334,362,15.050292000
335,363,15.051000000
336,364,15.053604000
337,365,15.054222000
338,366,15.057224000
339,367,15.058131000
340,368,15.060269000
341,369,15.061009000
342,370,72.373781000
343,371,72.374082000
344,372,72.394426000
345,373,72.394714000
346,374,72.419060000
347,375,72.419347000
348,376,72.442313000
349,377,72.442563000
350,378,72.473646000
351,379,72.474100000
352,380,72.498640000
353,381,72.498905000
354,382,72.522641000
355,383,72.522880000
356,384,72.538644000
357,385,72.538863000
358,386,72.554636000
359,387,72.554889000
360,388,72.570636000
361,389,72.570847000
362,390,72.587154000
363,391,72.587404000
364,392,72.617204000
365,393,72.617690000
366,394,72.617718000
367,395,72.617729000
368,396,72.627646000
369,397,72.627963000
370,398,72.650743000
371,399,72.651009000
372,400,72.652639000
373,401,72.652665000
374,402,72.668640000
375,403,72.669052000
376,404,72.687908000
377,405,72.688204000
378,406,72.700643000
379,407,72.700942000
380,408,72.717553000
381,409,72.717851000
382,410,72.732646000
383,411,72.733041000
384,412,72.740654000
385,413,72.741401000
386,414,72.759093000
387,415,72.759389000
388,416,72.773229000
389,417,72.773566000
390,418,72.790752000
391,419,72.791157000
392,420,72.807487000
393,421,72.807751000
394,422,72.812652000
395,423,72.812939000
396,424,72.836652000
397,425,72.836991000
398,426,72.853014000
399,427,72.853242000
400,428,72.868640000
401,429,72.868938000
402,430,72.888880000
403,431,72.889179000
404,432,72.910913000
405,433,72.911153000
406,434,72.916643000
407,435,72.916895000
408,436,72.950768000
409,437,72.951016000
410,438,72.956640000
411,439,72.956894000
412,440,72.973645000
413,441,72.973955000
414,442,72.998034000
415,443,72.998383000
416,444,73.014849000
417,445,73.015148000
418,446,73.042931000
419,447,73.043219000
420,448,73.062637000
421,449,73.062883000
422,450,73.086641000
423,451,73.086964000
424,452,73.111043000
425,453,73.111274000
426,454,73.148167000
427,455,73.148464000
428,456,73.187703000
429,457,73.188006000
430,458,73.199642000
431,459,73.199939000
432,460,73.248642000
433,461,73.248861000
434,462,73.304638000
435,463,73.304997000
436,464,73.317171000
437,465,73.320908000
438,466,74.510406000
439,467,74.510620000
440,468,74.524408000
441,469,74.538532000
442,470,74.558846000
443,471,74.559073000
444,472,74.594627000
445,473,74.594926000
446,474,74.637029000
447,475,74.637333000
448,476,74.675630000
449,477,74.675950000
450,478,74.720927000
451,479,74.721238000
452,480,74.748627000
453,481,74.748923000
454,482,74.780632000
455,483,74.780867000
456,484,74.844932000
457,485,74.845156000
458,486,74.855115000
459,487,74.855340000
460,488,74.885627000
461,489,74.885827000
462,490,74.918632000
463,491,74.918900000
464,492,74.942731000
465,493,74.942930000
466,494,74.975671000
467,495,74.976021000
468,496,75.022741000
469,497,75.023073000
470,498,75.039630000
471,499,75.039909000
472,500,75.076250000
473,501,75.076477000
474,502,75.104632000
475,503,75.105005000
476,504,75.136632000
477,505,75.136924000
478,506,75.168630000
479,507,75.168940000
480,508,75.232201000
481,509,75.232402000
482,510,75.239491000
483,511,75.239711000
484,512,75.266695000
485,513,75.267125000
486,514,75.289684000
487,515,75.289883000
488,516,75.330728000
489,517,75.330941000
490,518,75.354629000
491,519,75.354819000
492,520,75.386743000
493,521,75.387062000
494,522,75.439971000
495,523,75.440176000
496,524,75.452175000
497,525,75.452369000
498,526,75.480858000
499,527,75.481145000
500,528,75.508629000
501,529,75.508919000
502,530,75.547626000
503,531,75.547919000
504,532,75.580629000
505,533,75.581025000
506,534,75.620624000
507,535,75.620883000
508,536,75.669085000
509,537,75.669290000
510,538,75.739702000
511,539,75.739923000
512,540,75.765186000
513,541,75.765472000
514,542,75.815312000
515,543,75.815601000
516,544,75.862628000
517,545,75.863007000
